GP, 59.1211, RCP, rcp45, E, 0, OA, 0, Mode, 7, Adv,  0.7500
GP,  1.1125, RCP, rcp85, E, 0, OA, 0, Mode, 9, Adv,  0.7500
GP, 36.9941, RCP, rcp45, E, 0, OA, 0, Mode, 9, Adv,  0.7500
GP,  1.9216, RCP, rcp85, E, 0, OA, 0, Mode, 0, Adv,  1.0000
GP, 82.9134, RCP, rcp45, E, 0, OA, 0, Mode, 0, Adv,  1.0000
GP,  1.4779, RCP, rcp85, E, 0, OA, 0, Mode, 7, Adv,  1.0000
GP, 79.3979, RCP, rcp45, E, 0, OA, 0, Mode, 7, Adv,  1.0000
GP,  1.1741, RCP, rcp85, E, 0, OA, 0, Mode, 9, Adv,  1.0000
GP, 65.0195, RCP, rcp45, E, 0, OA, 0, Mode, 9, Adv,  1.0000
GP,  3.0591, RCP, rcp85, E, 0, OA, 0, Mode, 0, Adv,  1.2500
GP, 89.6516, RCP, rcp45, E, 0, OA, 0, Mode, 0, Adv,  1.2500
GP,  2.4885, RCP, rcp85, E, 0, OA, 0, Mode, 7, Adv,  1.2500
GP, 88.1732, RCP, rcp45, E, 0, OA, 0, Mode, 7, Adv,  1.2500
GP,  1.4823, RCP, rcp85, E, 0, OA, 0, Mode, 9, Adv,  1.2500
GP, 79.8585, RCP, rcp45, E, 0, OA, 0, Mode, 9, Adv,  1.2500
GP,  6.2582, RCP, rcp85, E, 0, OA, 0, Mode, 0, Adv,  1.5000
GP, 93.0279, RCP, rcp45, E, 0, OA, 0, Mode, 0, Adv,  1.5000
GP,  5.2772, RCP, rcp85, E, 0, OA, 0, Mode, 7, Adv,  1.5000
GP, 92.2051, RCP, rcp45, E, 0, OA, 0, Mode, 7, Adv,  1.5000
GP,  3.7096, RCP, rcp85, E, 0, OA, 0, Mode, 9, Adv,  1.5000
GP, 86.7011, RCP, rcp45, E, 0, OA, 0, Mode, 9, Adv,  1.5000
GP, 12.1111, RCP, rcp85, E, 0, OA, 0, Mode, 0, Adv,  1.7500
GP, 95.0067, RCP, rcp45, E, 0, OA, 0, Mode, 0, Adv,  1.7500
GP, 10.3220, RCP, rcp85, E, 0, OA, 0, Mode, 7, Adv,  1.7500
GP, 94.5378, RCP, rcp45, E, 0, OA, 0, Mode, 7, Adv,  1.7500
GP,  6.7572, RCP, rcp85, E, 0, OA, 0, Mode, 9, Adv,  1.7500
GP, 90.2022, RCP, rcp45, E, 0, OA, 0, Mode, 9, Adv,  1.7500
GP, 27.3477, RCP, rcp85, E, 0, OA, 0, Mode, 0, Adv,  2.0000
GP, 96.3663, RCP, rcp45, E, 0, OA, 0, Mode, 0, Adv,  2.0000
GP, 25.3364, RCP, rcp85, E, 0, OA, 0, Mode, 7, Adv,  2.0000
GP, 96.1034, RCP, rcp45, E, 0, OA, 0, Mode, 7, Adv,  2.0000
GP, 17.3077, RCP, rcp85, E, 0, OA, 0, Mode, 9, Adv,  2.0000
GP, 92.5077, RCP, rcp45, E, 0, OA, 0, Mode, 9, Adv,  2.0000
GP, 49.3998, RCP, rcp85, E, 0, OA, 0, Mode, 0, Adv,  2.2500
GP, 97.1954, RCP, rcp45, E, 0, OA, 0, Mode, 0, Adv,  2.2500
GP, 48.0876, RCP, rcp85, E, 0, OA, 0, Mode, 7, Adv,  2.2500
GP, 97.0173, RCP, rcp45, E, 0, OA, 0, Mode, 7, Adv,  2.2500
GP, 37.4936, RCP, rcp85, E, 0, OA, 0, Mode, 9, Adv,  2.2500
GP, 94.0011, RCP, rcp45, E, 0, OA, 0, Mode, 9, Adv,  2.2500
GP, 70.2280, RCP, rcp85, E, 0, OA, 0, Mode, 0, Adv,  2.5000
GP, 97.6176, RCP, rcp45, E, 0, OA, 0, Mode, 0, Adv,  2.5000
GP, 69.5257, RCP, rcp85, E, 0, OA, 0, Mode, 7, Adv,  2.5000
GP, 97.4564, RCP, rcp45, E, 0, OA, 0, Mode, 7, Adv,  2.5000
GP, 59.1291, RCP, rcp85, E, 0, OA, 0, Mode, 9, Adv,  2.5000
GP, 94.8548, RCP, rcp45, E, 0, OA, 0, Mode, 9, Adv,  2.5000
GP, 82.2471, RCP, rcp85, E, 0, OA, 0, Mode, 0, Adv,  2.7500
GP, 97.8537, RCP, rcp45, E, 0, OA, 0, Mode, 0, Adv,  2.7500
GP, 81.8332, RCP, rcp85, E, 0, OA, 0, Mode, 7, Adv,  2.7500
GP, 97.7392, RCP, rcp45, E, 0, OA, 0, Mode, 7, Adv,  2.7500
GP, 73.7626, RCP, rcp85, E, 0, OA, 0, Mode, 9, Adv,  2.7500
GP, 95.3281, RCP, rcp45, E, 0, OA, 0, Mode, 9, Adv,  2.7500
GP, 89.2001, RCP, rcp85, E, 0, OA, 0, Mode, 0, Adv,  3.0000
GP, 98.0254, RCP, rcp45, E, 0, OA, 0, Mode, 0, Adv,  3.0000
GP, 88.9157, RCP, rcp85, E, 0, OA, 0, Mode, 7, Adv,  3.0000
GP, 97.9613, RCP, rcp45, E, 0, OA, 0, Mode, 7, Adv,  3.0000
GP, 83.0323, RCP, rcp85, E, 0, OA, 0, Mode, 9, Adv,  3.0000
GP, 95.6781, RCP, rcp45, E, 0, OA, 0, Mode, 9, Adv,  3.0000
GP, 94.5124, RCP, rcp85, E, 0, OA, 0, Mode, 0, Adv,  3.5000
GP, 98.2395, RCP, rcp45, E, 0, OA, 0, Mode, 0, Adv,  3.5000
GP, 94.3745, RCP, rcp85, E, 0, OA, 0, Mode, 7, Adv,  3.5000
GP, 98.2175, RCP, rcp45, E, 0, OA, 0, Mode, 7, Adv,  3.5000
GP, 90.8394, RCP, rcp85, E, 0, OA, 0, Mode, 9, Adv,  3.5000
GP, 96.0995, RCP, rcp45, E, 0, OA, 0, Mode, 9, Adv,  3.5000
GP, 96.6950, RCP, rcp85, E, 0, OA, 0, Mode, 0, Adv,  4.0000
GP, 98.3366, RCP, rcp45, E, 0, OA, 0, Mode, 0, Adv,  4.0000
GP, 96.5657, RCP, rcp85, E, 0, OA, 0, Mode, 7, Adv,  4.0000
GP, 98.3241, RCP, rcp45, E, 0, OA, 0, Mode, 7, Adv,  4.0000
GP, 93.8138, RCP, rcp85, E, 0, OA, 0, Mode, 9, Adv,  4.0000
GP, 96.2778, RCP, rcp45, E, 0, OA, 0, Mode, 9, Adv,  4.0000
